Campus,Term,Career,Class Nbr,Subject,Catalog Nbr,Title,Class Section,Course ID,Component Units,Facility ID,Meeting Start,Meeting End,Standard Meeting Pattern,Last Name,Initials,Enrollment Capacity,Enrollment Total,Learning Mode Descr
SDSU,Fall 2023,UGRD,7667,A E,341,Fluid Mechanics Lab,1004,37953,1,NE175,9:00 AM,9:50 AM,T,Chilukuri,R,25,18,Face-to-face
SDSU,Fall 2023,UGRD,7667,A E,341,Fluid Mechanics Lab,1004,37953,1,EIS010,10:00 AM,11:40 AM,T,,,25,18,Face-to-face
SDSU,Fall 2023,UGRD,7668,A E,341,Fluid Mechanics Lab,1005,37953,1,EIS010,10:00 AM,11:40 AM,W,,,25,25,Face-to-face
SDSU,Fall 2023,UGRD,7668,A E,341,Fluid Mechanics Lab,1005,37953,1,LSN134,9:00 AM,9:50 AM,W,Kharraz,A,25,25,Face-to-face
SDSU,Fall 2023,UGRD,7669,A E,341,Fluid Mechanics Lab,1006,37953,1,EIS010,2:00 PM,3:40 PM,R,,,25,24,Face-to-face
SDSU,Fall 2023,UGRD,7669,A E,341,Fluid Mechanics Lab,1006,37953,1,E427,1:00 PM,1:50 PM,R,Abassi,M,25,24,Face-to-face
SDSU,Fall 2023,UGRD,7670,A E,341,Fluid Mechanics Lab,1007,37953,1,SLHS247,4:00 PM,4:50 PM,W,Chilukuri,R,25,25,Face-to-face
SDSU,Fall 2023,UGRD,7670,A E,341,Fluid Mechanics Lab,1007,37953,1,EIS010,5:00 PM,6:40 PM,W,,,25,25,Face-to-face
SDSU,Fall 2023,GRAD,8358,A E,797,Research,3001,20,3,,,,ARR,Liu,X,5,0,Face-to-face
SDSU,Fall 2023,UGRD,7033,CIV E,301,Intro to Solid Mechanics,1001,37901,3,GMCS324,9:00 AM,9:50 AM,MWF,Lakrori,N,60,60,Face-to-face
SDSU,Fall 2023,UGRD,7034,CIV E,301,Intro to Solid Mechanics,1002,37901,3,E201,9:30 AM,10:45 AM,TR,Lakrori,N,40,40,Face-to-face
SDSU,Fall 2023,UGRD,7038,CIV E,302,Solid Mechanics Lab,1001,23414,1,E103,2:00 PM,3:40 PM,R,Schraff,A,25,25,Face-to-face
SDSU,Fall 2023,UGRD,7038,CIV E,302,Solid Mechanics Lab,1001,23414,1,P145,1:00 PM,1:50 PM,R,,,25,25,Face-to-face
